,RMSE mean,RMSE standard deviation,Hyperparameters
0,0.9791458764323945,0.008901285920027865,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.5}"
1,0.9784888216898306,0.008095888602862263,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.5}"
2,0.9778029835948537,0.009254296930472168,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.5}"
3,0.9753227472077741,0.010281814313438178,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.7}"
4,0.9744099842587943,0.010218333285660486,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.7}"
5,0.9743897739768463,0.01035155431835037,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.6}"
6,0.9741810460116829,0.0097717053546957,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.6}"
7,0.973889615362328,0.008809640175175878,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.6}"
8,0.973656819066578,0.009279246692542509,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.01, 'subsample': 0.5}"
9,0.9733497045012889,0.008506727487364836,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.7}"
10,0.9733497045012889,0.008506727487364836,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.7}"
11,0.9733497045012889,0.008506727487364836,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.7}"
12,0.9731970493885367,0.009731312236534888,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.02, 'subsample': 0.5}"
13,0.9729588144943875,0.011115963470197911,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.7}"
14,0.9728608775997492,0.008234594035619285,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.6}"
